Year (negative values = BC),"EPICA Dome C and  Vostok Station,  Antarctica","Law Dome, Antarctica (75-year smoothed)","Siple Station, Antarctica","Mauna Loa, Hawaii","Barrow, Alaska","Cape Matatula,  American Samoa","South Pole, Antarctica","Cape Grim, Australia","Lampedusa Island, Italy","Shetland Islands, Scotland"
19,276.9,,,,,,,,,
138,278,,,,,,,,,
217,278.7,,,,,,,,,
312,278.9,,,,,,,,,
398,280,,,,,,,,,
497,279.2,,,,,,,,,
600,277.4,,,,,,,,,
717,278.7,,,,,,,,,
797,277.7,,,,,,,,,
890,279.1,,,,,,,,,
1000,276.6,,,,,,,,,
1010,,279.5,,,,,,,,
1015,,279.6,,,,,,,,
1020,,279.7,,,,,,,,
1025,,279.8,,,,,,,,
1030,,279.9,,,,,,,,
1035,,280,,,,,,,,
1040,,280.2,,,,,,,,
1045,,280.3,,,,,,,,
1050,,280.5,,,,,,,,
1055,,280.7,,,,,,,,
1060,,280.9,,,,,,,,
1065,,281.1,,,,,,,,
1070,,281.3,,,,,,,,
1073,278.4,,,,,,,,,
1075,,281.5,,,,,,,,
1080,,281.7,,,,,,,,
1085,,281.9,,,,,,,,
1090,,282.1,,,,,,,,
1095,,282.3,,,,,,,,
1100,,282.5,,,,,,,,
1105,,282.7,,,,,,,,
1110,,282.9,,,,,,,,
1115,,283,,,,,,,,
1120,,283.2,,,,,,,,
1125,,283.3,,,,,,,,
1130,,283.5,,,,,,,,
1135,,283.6,,,,,,,,
1140,,283.7,,,,,,,,
1145,,283.8,,,,,,,,
1150,,283.9,,,,,,,,
1155,,284,,,,,,,,
1160,,284,,,,,,,,
1165,,284.1,,,,,,,,
1170,,284.1,,,,,,,,
1175,,284.1,,,,,,,,
1180,,284,,,,,,,,
1185,,284,,,,,,,,
1190,,283.9,,,,,,,,
1195,,283.8,,,,,,,,
1196,280.1,,,,,,,,,
1200,,283.6,,,,,,,,
1205,,283.4,,,,,,,,
1210,,283.2,,,,,,,,
1215,,283,,,,,,,,
1220,,282.8,,,,,,,,
1225,,282.5,,,,,,,,
1230,,282.3,,,,,,,,
1235,,282.2,,,,,,,,
1240,,282,,,,,,,,
1245,,281.9,,,,,,,,
1250,,281.9,,,,,,,,
1255,,281.9,,,,,,,,
1260,,282,,,,,,,,
1265,,282.1,,,,,,,,
1270,,282.2,,,,,,,,
1275,,282.3,,,,,,,,
1278,282.2,,,,,,,,,
1280,,282.5,,,,,,,,
1285,,282.6,,,,,,,,
1290,,282.8,,,,,,,,
1295,,282.9,,,,,,,,
1300,,283,,,,,,,,
1305,,283.1,,,,,,,,
1310,,283.2,,,,,,,,
1315,,283.3,,,,,,,,
1320,,283.3,,,,,,,,
1325,,283.2,,,,,,,,
1330,,283.1,,,,,,,,
1335,,282.9,,,,,,,,
1340,,282.7,,,,,,,,
1345,,282.4,,,,,,,,
1350,,282.1,,,,,,,,
1355,,281.8,,,,,,,,
1360,,281.5,,,,,,,,
1365,,281.2,,,,,,,,
1370,,281,,,,,,,,
1375,,280.7,,,,,,,,
1380,,280.5,,,,,,,,
1385,,280.4,,,,,,,,
1390,,280.3,,,,,,,,
1391,281.1,,,,,,,,,
1395,,280.3,,,,,,,,
1400,,280.3,,,,,,,,
1405,,280.4,,,,,,,,
1410,,280.5,,,,,,,,
1415,,280.6,,,,,,,,
1420,,280.7,,,,,,,,
1425,,280.8,,,,,,,,
1430,,280.9,,,,,,,,
1435,,280.9,,,,,,,,
1440,,280.9,,,,,,,,
1445,,280.9,,,,,,,,
1450,,280.8,,,,,,,,
1455,,280.7,,,,,,,,
1460,,280.6,,,,,,,,
1465,277.7,280.6,,,,,,,,
1470,,280.6,,,,,,,,
1475,,280.8,,,,,,,,
1480,,281,,,,,,,,
1485,,281.3,,,,,,,,
1490,,281.6,,,,,,,,
1495,,281.9,,,,,,,,
1500,,282.2,,,,,,,,
1505,,282.5,,,,,,,,
1510,,282.7,,,,,,,,
1515,,282.9,,,,,,,,
1520,,283.1,,,,,,,,
1525,,283.2,,,,,,,,
1530,,283.2,,,,,,,,
1535,,283.2,,,,,,,,
1540,,283.1,,,,,,,,
1545,,283,,,,,,,,
1546,281.9,,,,,,,,,
1550,,282.8,,,,,,,,
1555,279.1,282.6,,,,,,,,
1560,,282.2,,,,,,,,
1565,,281.8,,,,,,,,
1570,,281.2,,,,,,,,
1575,,280.5,,,,,,,,
1580,,279.7,,,,,,,,
1585,,278.8,,,,,,,,
1590,,278,,,,,,,,
1595,,277.1,,,,,,,,
1600,,276.4,,,,,,,,
1605,,275.8,,,,,,,,
1610,,275.5,,,,,,,,
1615,,275.3,,,,,,,,
1620,,275.3,,,,,,,,
1625,,275.4,,,,,,,,
1630,,275.6,,,,,,,,
1635,,275.9,,,,,,,,
1640,,276.1,,,,,,,,
1645,,276.3,,,,,,,,
1650,,276.4,,,,,,,,
1655,,276.5,,,,,,,,
1660,,276.5,,,,,,,,
1665,,276.5,,,,,,,,
1670,,276.4,,,,,,,,
1671,277.9,,,,,,,,,
1675,,276.4,,,,,,,,
1680,,276.4,,,,,,,,
1682,274.9,,,,,,,,,
1685,,276.4,,,,,,,,
1690,,276.5,,,,,,,,
1695,,276.6,,,,,,,,
1700,,276.7,,,,,,,,
1705,,276.8,,,,,,,,
1710,,276.9,,,,,,,,
1715,,277,,,,,,,,
1720,,277,,,,,,,,
1725,,277,,,,,,,,
1730,,277,,,,,,,,
1735,,276.9,,,,,,,,
1740,,276.9,,,,,,,,
1744,,,276.8,,,,,,,
1745,,276.9,,,,,,,,
1750,,277,,,,,,,,
1755,,277.2,,,,,,,,
1760,,277.6,,,,,,,,
1764,,,276.7,,,,,,,
1765,,278,,,,,,,,
1770,,278.6,,,,,,,,
1775,,279.3,,,,,,,,
1780,,280.1,,,,,,,,
1785,,280.8,,,,,,,,
1790,,281.6,,,,,,,,
1791,,,279.7,,,,,,,
1795,,282.3,,,,,,,,
1800,,282.9,,,,,,,,
1805,,283.4,,,,,,,,
1810,,283.8,,,,,,,,
1813,280.4,,,,,,,,,
1815,,284,,,,,,,,
