Year,Winter,Spring,Summer,Fall
1972,5.730436609,4.168021841,1.025775624,2.706970988
1973,5.736993267,4.034464729,1.063340919,2.53777137
1974,5.688949417,4.472876008,0.838031647,2.402507686
1975,5.676596465,4.604734143,0.771889645,2.479150895
1976,5.680888762,4.02605877,1.098074411,2.43938456
1977,5.57113369,4.127751386,1.028260835,2.253765561
1978,6.108546453,4.50351463,1.366254922,2.516117216
1979,6.266576651,4.569863455,1.085326605,1.950917195
1980,5.697502481,4.099744694,0.924200383,2.135493332
1981,5.158634241,4.026532775,1.080329542,2.29083909
1982,6.019423393,4.439744582,0.584213751,2.399690169
1983,5.677917706,4.264635026,0.693573069,2.395343303
1984,6.023364209,4.036586489,0.501225081,2.36022448
1985,6.094530816,4.51357272,1.053725302,2.590846646
1986,6.008334024,4.059610661,0.887802275,2.711785168
1987,5.565700846,3.859346293,0.82307405,1.926458138
1988,5.793931881,3.821040454,0.537701826,2.227143817
1989,5.587260533,4.09324016,0.517009581,2.402099318
1990,5.74435482,3.891033311,0.489734295,2.156157134
1991,5.694421772,3.829812952,0.693926224,2.625826343
1992,5.448024887,3.96506737,0.701794857,2.598312703
1993,6.074657495,3.921591881,0.453096804,2.530450615
1994,5.725284333,3.913648987,0.574966347,2.268372578
1995,5.652359159,4.147032298,0.650257941,2.523791254
1996,5.700385506,4.347992166,0.663044486,2.783095405
1997,5.789218603,4.497529789,0.798452186,2.51514012
1998,5.650321183,3.909904183,0.538506076,2.12905096
1999,5.573696636,4.017820766,0.570186788,2.165114446
2000,5.523691387,3.912960696,0.667887752,2.642978159
2001,6.079873091,4.119033071,0.714566473,2.287747699
2002,5.705757731,4.326227072,0.720216563,2.721166163
2003,5.724627831,4.115174108,0.673539901,2.606385456
2004,6.010103402,4.043421398,0.683623731,2.520924574
2005,5.659503593,3.838657266,0.625984856,2.313857472
2006,5.663000907,3.90182744,0.583189808,2.389104793
2007,5.838877647,3.91866188,0.583999078,2.34435182
2008,6.103243211,4.272877278,0.418111444,2.438825613
2009,5.971448655,4.191448204,0.453630526,2.421844197
2010,6.288348823,3.530648258,0.363146713,2.499141849
2011,6.152596462,4.293724864,0.380269185,2.460892381
2012,5.557369405,3.743478579,0.287326931,2.52768754
2013,5.990554277,4.377074024,0.484249843,2.65153251
2014,6.015911794,4.155280213,0.443942965,2.905396867
2015,5.758485901,3.770635332,0.335259583,2.591977539
